leading_item_id,following_item_id,value
AANGBULD,AHMDUILJ,142988
AANGBULD,APQGTRMF,73677
AANGBULD,AXULOHBQ,135553
AANGBULD,BEZYMBBT,3281516
AANGBULD,BLANHGYY,70097
AANGBULD,BTMOEMEP,5138052
AANGBULD,BUZIIBYG,18798800
AANGBULD,DBWLZWNK,183909
AANGBULD,DEWLVASR,388598
AANGBULD,DNMPSKTB,5422835
AANGBULD,DUCMGGNW,934502
AANGBULD,ELQGMQWE,674348
AANGBULD,EVBVXETX,5053008
AANGBULD,FCYBOAXC,111024024
AANGBULD,FDXPMYGF,21435
AANGBULD,FITUEHWN,117377
AANGBULD,FQCLOEXA,2445276
AANGBULD,FRHNWLNI,877560
AANGBULD,FTSVTTSR,192363
AANGBULD,FWUCPMMW,20839
AANGBULD,GKQIJYDH,4863626
AANGBULD,GYHKIVQT,36761384
AANGBULD,HCDTGMST,117148
AANGBULD,HXYSSRXE,5081883
AANGBULD,IGDVVKUD,30717
AANGBULD,JBVHSUWY,429998
AANGBULD,JPBRUTWP,6895364
AANGBULD,KEUWZRKO,876144
AANGBULD,KJNSOAHR,24466308
AANGBULD,LLHREMKS,82555
AANGBULD,LSOIUSXD,239166
AANGBULD,LTOYKIML,371589
AANGBULD,LUENUFGA,3541990
AANGBULD,MBSBZBXA,3975908
AANGBULD,NAQIHUKZ,43029
AANGBULD,NZKBIBNU,280610
AANGBULD,OGAFEHLU,46214
AANGBULD,OKMBFVKS,1915720
AANGBULD,QKXNTIIB,1310975
AANGBULD,QRKRBYJL,2154862
AANGBULD,QVLMOEYE,1197431
AANGBULD,RAWUKQMJ,3566705
AANGBULD,RCBZUSIM,15607
AANGBULD,RJGPVEXX,590723
AANGBULD,ROACSLMG,2171077
AANGBULD,SAHWCZNH,1718364
AANGBULD,SDWAYPIK,5460148
AANGBULD,SNHYOVBM,292246
AANGBULD,UGEQLMXM,262154
AANGBULD,UIFPPCLR,144015
AANGBULD,UQYUIVVR,5720764
AANGBULD,UXSPKBJR,386839
AANGBULD,VBYCLTYZ,432724
AANGBULD,VUAFAIYJ,869088
AANGBULD,WBLJNPZQ,154272
AANGBULD,WHPUAOID,51432
AANGBULD,WPQXWHYO,21675682
AANGBULD,WQMVCOEM,19210
AANGBULD,XIFHSOWQ,102874
AANGBULD,XIIEJNEE,69068
AANGBULD,XUOIQPFL,2539342
AANGBULD,YSYHGLQK,21873
AANGBULD,ZCELVYQU,211709
AANGBULD,ZKENOUDA,426776
AANGBULD,ZXERAXWP,51444
AHMDUILJ,APQGTRMF,78166
AHMDUILJ,ATLDMDBO,34776020
AHMDUILJ,BEZYMBBT,3262591
AHMDUILJ,BJALXPFS,154387
AHMDUILJ,BLANHGYY,82806
AHMDUILJ,BSRMSVTC,283489
AHMDUILJ,BUZIIBYG,16359011
AHMDUILJ,DDEXPPXU,8137
AHMDUILJ,DJBLNPNC,20547
AHMDUILJ,DUCMGGNW,929666
AHMDUILJ,EVBVXETX,5102022
AHMDUILJ,FCYBOAXC,112594152
AHMDUILJ,FDXPMYGF,27120
AHMDUILJ,FITUEHWN,111776
AHMDUILJ,FQCLOEXA,2416858
AHMDUILJ,FRHNWLNI,889921
AHMDUILJ,FTSVTTSR,183683
AHMDUILJ,FWUCPMMW,25031
AHMDUILJ,GYHKIVQT,36849336
AHMDUILJ,HCDTGMST,113005
AHMDUILJ,HXYSSRXE,5369528
AHMDUILJ,IGDVVKUD,24888
AHMDUILJ,JPBRUTWP,6886452
AHMDUILJ,KAGJCHMR,32503
AHMDUILJ,KEUWZRKO,792425
AHMDUILJ,KJNSOAHR,25692150
AHMDUILJ,LRVGFDFM,2259837
AHMDUILJ,LSOIUSXD,257478
AHMDUILJ,LUENUFGA,3586424
AHMDUILJ,MIRCVAMV,88899
AHMDUILJ,NZKBIBNU,270144
AHMDUILJ,OJIFIHMZ,3310372
AHMDUILJ,PYZMVUWD,21235
AHMDUILJ,QRKRBYJL,2096154
AHMDUILJ,QVLMOEYE,1206848
AHMDUILJ,RAWUKQMJ,3639944
AHMDUILJ,RCBZUSIM,11212
AHMDUILJ,RJGPVEXX,601758
AHMDUILJ,ROACSLMG,2162170
AHMDUILJ,SAAYMURU,56833
AHMDUILJ,SAHWCZNH,1708008
AHMDUILJ,SDWAYPIK,5276519
AHMDUILJ,SNHYOVBM,285313
AHMDUILJ,STZDBITS,22763232
AHMDUILJ,SUOYXCHP,28279
AHMDUILJ,TGOELCAG,300344
AHMDUILJ,UGEQLMXM,266538
AHMDUILJ,UIFPPCLR,145932
AHMDUILJ,UXSPKBJR,405666
AHMDUILJ,VBYCLTYZ,440294
AHMDUILJ,VMAQSTJE,24033
AHMDUILJ,VWMBASNE,146606
AHMDUILJ,WPQXWHYO,21770252
AHMDUILJ,WQMVCOEM,22452
AHMDUILJ,XIFHSOWQ,100042
AHMDUILJ,XIIEJNEE,68195
AHMDUILJ,XIPPENFQ,136310
AHMDUILJ,XMKRPGLB,793744
AHMDUILJ,YSYHGLQK,26485
AHMDUILJ,ZGJXVMNI,2630268
AHMDUILJ,ZKENOUDA,422648
AHMDUILJ,ZXERAXWP,52094
APQGTRMF,AANGBULD,447082
APQGTRMF,ATLDMDBO,36947908
APQGTRMF,AXULOHBQ,120749
APQGTRMF,BEZYMBBT,3342321
APQGTRMF,BJALXPFS,157959
APQGTRMF,BSRMSVTC,279489
APQGTRMF,BTMOEMEP,4957021
APQGTRMF,BUZIIBYG,18317864
APQGTRMF,DBWLZWNK,193241
APQGTRMF,DDEXPPXU,11471
APQGTRMF,DEWLVASR,399572
APQGTRMF,DJBLNPNC,21235
APQGTRMF,DNMPSKTB,5527307
APQGTRMF,DUCMGGNW,925359
APQGTRMF,ELQGMQWE,658429
APQGTRMF,EVBVXETX,5135674
APQGTRMF,FCYBOAXC,110799752
APQGTRMF,FDXPMYGF,37322
APQGTRMF,FITUEHWN,115730
APQGTRMF,FQCLOEXA,2415271
APQGTRMF,FRHNWLNI,942330
APQGTRMF,FTSVTTSR,191035
APQGTRMF,GYHKIVQT,35901452
APQGTRMF,HXYSSRXE,5388621
APQGTRMF,IGDVVKUD,32268
APQGTRMF,JPBRUTWP,6559764
APQGTRMF,KEUWZRKO,861523
APQGTRMF,KJNSOAHR,27634832
APQGTRMF,LPHPPJUG,1183884
APQGTRMF,LUENUFGA,3556361
APQGTRMF,MBSBZBXA,3963444
APQGTRMF,MIRCVAMV,88899
APQGTRMF,NAQIHUKZ,51446
APQGTRMF,NZKBIBNU,272159
APQGTRMF,OGAFEHLU,45622
APQGTRMF,OJIFIHMZ,3337096
APQGTRMF,OKMBFVKS,1971172
APQGTRMF,OXKURKXR,144381
APQGTRMF,PYZMVUWD,20589
APQGTRMF,QJQJSWFU,141129
APQGTRMF,QKXNTIIB,1328266
APQGTRMF,QRKRBYJL,2014598
APQGTRMF,QVLMOEYE,1199884
APQGTRMF,RAWUKQMJ,3688662
APQGTRMF,RCBZUSIM,7207
APQGTRMF,RJGPVEXX,602037
APQGTRMF,ROACSLMG,2166451
APQGTRMF,SAHWCZNH,1702804
APQGTRMF,SDWAYPIK,5245945
APQGTRMF,SNHYOVBM,282406
APQGTRMF,UGEQLMXM,257857
APQGTRMF,UIFPPCLR,173654
APQGTRMF,UQYUIVVR,5143242
APQGTRMF,UXSPKBJR,415882
APQGTRMF,VMAQSTJE,13714
APQGTRMF,VWMBASNE,143311
APQGTRMF,WBLJNPZQ,157515
APQGTRMF,WHPUAOID,51343
APQGTRMF,WPQXWHYO,20503448
APQGTRMF,WQMVCOEM,26013
APQGTRMF,XIFHSOWQ,98125
APQGTRMF,XIPPENFQ,126253
APQGTRMF,XMKRPGLB,870084
APQGTRMF,XUOIQPFL,2458751
APQGTRMF,YSYHGLQK,20706
APQGTRMF,ZCELVYQU,218333
APQGTRMF,ZGJXVMNI,2646240
APQGTRMF,ZKENOUDA,413476
APQGTRMF,ZXERAXWP,57512
ATLDMDBO,AANGBULD,446688
ATLDMDBO,AHMDUILJ,129738
ATLDMDBO,APQGTRMF,64223
ATLDMDBO,AXULOHBQ,98297
ATLDMDBO,BEZYMBBT,3203690
ATLDMDBO,BJALXPFS,143909
ATLDMDBO,BSRMSVTC,266076
ATLDMDBO,BTMOEMEP,3962022
ATLDMDBO,CCLHWFWF,14290311
ATLDMDBO,DBWLZWNK,165399
ATLDMDBO,DEWLVASR,399265
ATLDMDBO,DNMPSKTB,5117618
ATLDMDBO,ELQGMQWE,659126
ATLDMDBO,EVBVXETX,5145312
ATLDMDBO,FCYBOAXC,112523168
ATLDMDBO,FDXPMYGF,15718
ATLDMDBO,FITUEHWN,112537
ATLDMDBO,FQCLOEXA,2285830
ATLDMDBO,FRHNWLNI,896988
ATLDMDBO,GYHKIVQT,34489404
ATLDMDBO,HXYSSRXE,4883876
ATLDMDBO,IGDVVKUD,31670
ATLDMDBO,JBVHSUWY,407623
ATLDMDBO,JPBRUTWP,6179354
ATLDMDBO,KEUWZRKO,735842
ATLDMDBO,KJNSOAHR,29014500
ATLDMDBO,LPHPPJUG,1174680
ATLDMDBO,LRVGFDFM,2042296
ATLDMDBO,LUENUFGA,3334968
ATLDMDBO,MIRCVAMV,81608
ATLDMDBO,NZKBIBNU,265399
ATLDMDBO,OGAFEHLU,28230
ATLDMDBO,OKMBFVKS,1832530
ATLDMDBO,OXKURKXR,116846
ATLDMDBO,PYZMVUWD,8799
ATLDMDBO,QJQJSWFU,124124
ATLDMDBO,QRKRBYJL,1921101
ATLDMDBO,QVLMOEYE,1167851
ATLDMDBO,RAWUKQMJ,3585554
ATLDMDBO,RCBZUSIM,38529
ATLDMDBO,RJGPVEXX,603078
ATLDMDBO,SAHWCZNH,1636372
ATLDMDBO,SDWAYPIK,5222906
ATLDMDBO,UGEQLMXM,242539
ATLDMDBO,UIFPPCLR,120671
ATLDMDBO,UXSPKBJR,385127
ATLDMDBO,VBYCLTYZ,405266
ATLDMDBO,VMAQSTJE,8108
ATLDMDBO,VUAFAIYJ,862240
ATLDMDBO,VWMBASNE,134482
ATLDMDBO,WBLJNPZQ,130514
ATLDMDBO,WPQXWHYO,21193794
ATLDMDBO,WQMVCOEM,16026
ATLDMDBO,XIFHSOWQ,78646
ATLDMDBO,XIPPENFQ,113236
ATLDMDBO,XUOIQPFL,2298129
ATLDMDBO,ZCELVYQU,216500
ATLDMDBO,ZGJXVMNI,2612198
ATLDMDBO,ZKENOUDA,422885
ATLDMDBO,ZXERAXWP,56169
AXULOHBQ,AANGBULD,454612
AXULOHBQ,AHMDUILJ,136889
AXULOHBQ,ATLDMDBO,38272956
AXULOHBQ,BEZYMBBT,3242268
AXULOHBQ,BJALXPFS,176945
AXULOHBQ,BSRMSVTC,281888
AXULOHBQ,BTMOEMEP,4551888
AXULOHBQ,DBWLZWNK,197271
AXULOHBQ,DDEXPPXU,13007
AXULOHBQ,DEWLVASR,378887
AXULOHBQ,DJBLNPNC,25142
AXULOHBQ,DNMPSKTB,4955163
AXULOHBQ,EVBVXETX,5061618
AXULOHBQ,FCYBOAXC,111282800
AXULOHBQ,FDXPMYGF,49019
AXULOHBQ,FITUEHWN,112272
AXULOHBQ,FQCLOEXA,2455429
AXULOHBQ,FRHNWLNI,944211
AXULOHBQ,GYHKIVQT,35918836
AXULOHBQ,HCDTGMST,116743
AXULOHBQ,HXYSSRXE,5410416
AXULOHBQ,IGDVVKUD,30717
AXULOHBQ,JSLXRQOK,22323
